Run #1,Run #1,Run #2,Run #2,Run #3,Run #3,Run #4,Run #4,Run #5,Run #5,Run #6,Run #6,Run #7,Run #7,Run #8,Run #8,Run #9,Run #9,Run #10,Run #10
Time (s),Position (m),Time (s),Position (m),Time (s),Position (m),Time (s),Position (m),Time (s),Position (m),Time (s),Position (m),Time (s),Position (m),Time (s),Position (m),Time (s),Position (m),Time (s),Position (m)
0.33,0.6601,0.33,0.6708,0.33,0.6661,0.33,0.6983,0.33,0.7102,0.33,0.7169,0.33,0.6408,0.33,0.5908,0.33,0.7008,0.33,0.6679
0.34,0.6601,0.34,0.6708,0.34,0.6661,0.34,0.6983,0.34,0.7102,0.34,0.7169,0.34,0.6308,0.34,0.5807,0.34,0.7008,0.34,0.659
0.35,0.6601,0.35,0.6708,0.35,0.6661,0.35,0.6983,0.35,0.7102,0.35,0.7169,0.35,0.6208,0.35,0.5707,0.35,0.7008,0.35,0.6498
0.36,0.6601,0.36,0.6708,0.36,0.6661,0.36,0.6983,0.36,0.7102,0.36,0.7169,0.36,0.6108,0.36,0.5507,0.36,0.6908,0.36,0.6403
0.37,0.6601,0.37,0.6708,0.37,0.6661,0.37,0.6983,0.37,0.7102,0.37,0.7169,0.37,0.6007,0.37,0.5406,0.37,0.691,0.37,0.6335
0.38,0.6601,0.38,0.6708,0.38,0.6661,0.38,0.6983,0.38,0.7102,0.38,0.7169,0.38,0.5907,0.38,0.5306,0.38,0.691,0.38,0.6234
0.39,0.6601,0.39,0.6708,0.39,0.6661,0.39,0.6983,0.39,0.7102,0.39,0.7169,0.39,0.5807,0.39,0.5106,0.39,0.681,0.39,0.613
0.4,0.6601,0.4,0.6708,0.4,0.6661,0.4,0.6983,0.4,0.7102,0.4,0.7169,0.4,0.5707,0.4,0.5006,0.4,0.681,0.4,0.6025
0.41,0.6601,0.41,0.6708,0.41,0.6661,0.41,0.6983,0.41,0.7102,0.41,0.7169,0.41,0.5607,0.41,0.4906,0.41,0.671,0.41,0.5918
0.42,0.6601,0.42,0.6708,0.42,0.6661,0.42,0.6983,0.42,0.7102,0.42,0.7169,0.42,0.5507,0.42,0.4705,0.42,0.671,0.42,0.5809
0.43,0.6601,0.43,0.6708,0.43,0.6661,0.43,0.6983,0.43,0.7102,0.43,0.7169,0.43,0.5306,0.43,0.4605,0.43,0.661,0.43,0.5698
0.44,0.6601,0.44,0.6708,0.44,0.6661,0.44,0.6883,0.44,0.7102,0.44,0.7169,0.44,0.5206,0.44,0.4505,0.44,0.6509,0.44,0.5587
0.45,0.6601,0.45,0.6708,0.45,0.6661,0.45,0.681,0.45,0.7102,0.45,0.7169,0.45,0.5106,0.45,0.4304,0.45,0.6509,0.45,0.5445
0.46,0.6601,0.46,0.6708,0.46,0.6661,0.46,0.6809,0.46,0.7102,0.46,0.7169,0.46,0.5006,0.46,0.4204,0.46,0.6409,0.46,0.5332
