"Time (s) Run #1","Geiger Counts (counts/sample) Run #1","Time (s) Run #2","Geiger Counts (counts/sample) Run #2","Time (s) Run #3","Geiger Counts (counts/sample) Run #3"
0.200,5,0.200,2,0.200,2
0.400,5,0.400,2,0.400,3
0.600,1,0.600,4,0.600,3
0.800,3,0.800,5,0.800,3
1.000,3,1.000,5,1.000,0
1.200,1,1.200,1,1.200,3
1.400,3,1.400,4,1.400,6
1.600,2,1.600,2,1.600,2
1.800,2,1.800,2,1.800,3
2.000,3,2.000,4,2.000,6
2.200,4,2.200,4,2.200,3
2.400,3,2.400,1,2.400,3
2.600,3,2.600,1,2.600,3
2.800,2,2.800,3,2.800,5
3.000,5,3.000,4,3.000,6
3.200,1,3.200,3,3.200,5
3.400,1,3.400,4,3.400,4
3.600,2,3.600,3,3.600,3
3.800,0,3.800,6,3.800,3
4.000,0,4.000,1,4.000,5
4.200,4,4.200,4,4.200,1
4.400,1,4.400,2,4.400,4
4.600,2,4.600,3,4.600,3
4.800,3,4.800,3,4.800,2
5.000,4,5.000,0,5.000,3
5.200,3,5.200,7,5.200,2
5.400,4,5.400,3,5.400,2
5.600,6,5.600,4,5.600,6
5.800,1,5.800,5,5.800,2
6.000,6,6.000,1,6.000,3
6.200,1,6.200,9,6.200,0
6.400,3,6.400,5,6.400,1
6.600,1,6.600,4,6.600,2
6.800,6,6.800,1,6.800,5
7.000,2,7.000,3,7.000,4
7.200,3,7.200,5,7.200,1
7.400,3,7.400,3,7.400,6
7.600,1,7.600,4,7.600,1
7.800,5,7.800,2,7.800,3
8.000,2,8.000,2,8.000,3
8.200,1,8.200,6,8.200,0
8.400,2,8.400,3,8.400,3
8.600,2,8.600,6,8.600,4
8.800,4,8.800,3,8.800,5
9.000,3,9.000,3,9.000,4
9.200,1,9.200,4,9.200,0
9.400,1,9.400,4,9.400,4
9.600,4,9.600,2,9.600,5
9.800,5,9.800,9,9.800,4
10.000,3,10.000,3,10.000,6
10.200,3,10.200,2,10.200,4
10.400,2,10.400,5,10.400,3
10.600,2,10.600,3,10.600,3
10.800,6,10.800,5,10.800,3
11.000,1,11.000,7,11.000,2
11.200,3,11.200,4,11.200,2
11.400,5,11.400,3,11.400,4
11.600,5,11.600,2,11.600,1
11.800,4,11.800,3,11.800,6
12.000,3,12.000,3,12.000,3
12.200,2,12.200,7,12.200,4
12.400,4,12.400,2,12.400,3
12.600,3,12.600,2,12.600,5
12.800,1,12.800,3,12.800,7
13.000,2,13.000,3,13.000,1
13.200,2,13.200,7,13.200,2
13.400,4,13.400,2,13.400,1
13.600,1,13.600,6,13.600,3
13.800,3,13.800,1,13.800,5
14.000,1,14.000,3,14.000,2
14.200,4,14.200,2,14.200,4
14.400,1,14.400,6,14.400,9
14.600,4,14.600,2,14.600,2
14.800,1,14.800,4,14.800,3
15.000,8,15.000,4,15.000,3
15.200,3,15.200,2,15.200,6
15.400,2,15.400,1,15.400,4
15.600,5,15.600,6,15.600,3
15.800,0,15.800,4,15.800,4
16.000,1,16.000,3,16.000,1
16.200,0,16.200,3,16.200,0
16.400,3,16.400,6,16.400,7
16.600,1,16.600,1,16.600,3
16.800,0,16.800,3,16.800,4
17.000,6,17.000,6,17.000,2
17.200,4,17.200,5,17.200,7
17.400,4,17.400,3,17.400,3
17.600,4,17.600,4,17.600,2
17.800,4,17.800,8,17.800,7
18.000,1,18.000,2,18.000,5
18.200,1,18.200,3,18.200,3
18.400,2,18.400,1,18.400,4
18.600,1,18.600,6,18.600,7
18.800,5,18.800,3,18.800,2
19.000,3,19.000,6,19.000,1
19.200,3,19.200,4,19.200,5
19.400,6,19.400,3,19.400,6
19.600,4,19.600,5,19.600,5
19.800,2,19.800,2,19.800,6
20.000,4,20.000,4,20.000,2
20.200,4,20.200,1,20.200,2
20.400,8,20.400,4,20.400,2
