Current (A) Run #1,Voltage (V) Run #1
8.75E-12,10.001
7.53E-12,7.997
5.62E-12,6.006
4.29E-12,4.007
2.46E-12,1.992
5.92E-13,0.02
4.93E-13,-0.113
4.39E-13,-0.201
3.62E-13,-0.31
3.07E-13,-0.408
2.48E-13,-0.517
1.80E-13,-0.603
1.21E-13,-0.704
