Current (A) Run #2,Voltage (V) Run #2
2.86E-11,30.005
2.80E-11,28.013
2.74E-11,26.009
2.67E-11,23.999
2.58E-11,21.999
2.53E-11,19.999
2.46E-11,18.002
2.38E-11,16.001
2.29E-11,14.004
2.15E-11,12.004
1.95E-11,10.013
1.80E-11,9.006
1.66E-11,7.987
1.27E-11,6.005
9.52E-12,4
5.51E-12,2.007
1.55E-12,0.029
1.30E-12,-0.11
1.14E-12,-0.204
1.00E-12,-0.295
8.48E-13,-0.4
7.19E-13,-0.506
5.55E-13,-0.609
4.27E-13,-0.709
3.01E-13,-0.797
1.73E-13,-0.909
9.44E-14,-1.01
