Current (A) Run #1,Voltage (V) Run #1
1.15E-10,29.935
1.13E-10,28.013
1.11E-10,26.001
1.09E-10,24.007
1.06E-10,22.012
1.03E-10,19.996
9.96E-11,18.002
9.79E-11,16.025
9.29E-11,13.989
8.73E-11,11.989
7.83E-11,10
6.64E-11,8.009
5.10E-11,6.008
3.84E-11,4.012
2.21E-11,2.008
5.96E-12,0.025
5.03E-12,-0.106
4.42E-12,-0.196
3.84E-12,-0.3
3.24E-12,-0.399
2.62E-12,-0.51
2.05E-12,-0.604
1.49E-12,-0.704
9.37E-13,-0.807
6.14E-13,-0.904
3.13E-13,-1
1.18E-13,-1.106
