Current (A) Run #1,Voltage (V) Run #1
1.83E-11,9.996
1.58E-11,7.999
1.20E-11,6.001
9.13E-12,4
5.19E-12,2.002
1.39E-12,0.006
1.18E-12,-0.108
1.02E-12,-0.202
8.71E-13,-0.305
7.14E-13,-0.405
5.49E-13,-0.502
3.87E-13,-0.605
2.39E-13,-0.705
1.25E-13,-0.806
