Current (A) Run #1,Voltage (V) Run #1
4.82E-10,29.991
4.70E-10,28.002
4.63E-10,26.006
4.51E-10,24.009
4.35E-10,22.003
4.26E-10,20.002
4.12E-10,18.014
4.02E-10,15.999
3.83E-10,14.011
3.61E-10,12.006
3.22E-10,10.002
2.75E-10,8.013
2.10E-10,6.007
1.59E-10,4.009
8.80E-11,2.003
2.31E-11,0.019
1.98E-11,-0.101
1.72E-11,-0.201
1.44E-11,-0.305
1.19E-11,-0.399
9.52E-12,-0.502
7.15E-12,-0.6
4.79E-12,-0.709
2.84E-12,-0.797
1.68E-12,-0.908
6.89E-13,-1
1.07E-13,-1.101
