"Wavelength (nm) Set","Frequency (Hz) Set","Date and Time Run #1","Time (s) Run #1","Current (A) Run #1","Voltage (V) Run #1","Stopping Potential (V) Run #1"
365,8.21E+14,01/27/2022 03:35:43 pm,92.300,1.501E-14,-1.653,1.65
405,7.40E+14,01/27/2022 03:36:38 pm,147.950,-6.726E-14,-1.275,1.28
436,6.88E+14,01/27/2022 03:37:16 pm,185.100,-1.123E-14,-1.107,1.11
546,5.49E+14,01/27/2022 03:38:05 pm,234.100,-1.343E-15,-0.640,0.64
577,5.20E+14,01/27/2022 03:39:05 pm,294.000,-2.783E-14,-0.529,0.53
