"Wavelength (nm) Set","Frequency (Hz) Set","Date and Time Run #1","Time (s) Run #1","Current (A) Run #1","Voltage (V) Run #1","Stopping Potential (V) Run #1"
365,8.21E+14,01/27/2022 03:14:54 pm,423.900,1.697E-14,-1.874,1.87
405,7.40E+14,01/27/2022 03:17:47 pm,596.050,1.270E-14,-1.387,1.39
436,6.88E+14,01/27/2022 03:18:55 pm,664.400,3.003E-14,-1.195,1.19
546,5.49E+14,01/27/2022 03:19:33 pm,702.350,-1.758E-14,-0.684,0.68
577,5.20E+14,01/27/2022 03:20:47 pm,776.650,4.382E-14,-0.571,0.57
