"Date and Time Run #1","Time (s) Run #1","Current (A) Run #1","Voltage (V) Run #1","Electron Current (x10^-10 A) Run #1","Peak Voltage (V) Run #1","Diff between Peaks (V) Run #1","Trough Voltage (V) Run #1","Diff between Troughs (V) Run #1","Date and Time Run #2","Time (s) Run #2","Current (A) Run #2","Voltage (V) Run #2","Electron Current (x10^-10 A) Run #2","Peak Voltage (V) Run #2","Diff between Peaks (V) Run #2","Trough Voltage (V) Run #2","Diff between Troughs (V) Run #2","Date and Time Run #3","Time (s) Run #3","Current (A) Run #3","Voltage (V) Run #3","Electron Current (x10^-10 A) Run #3","Peak Voltage (V) Run #3","Diff between Peaks (V) Run #3","Trough Voltage (V) Run #3","Diff between Troughs (V) Run #3"
02/03/2022 03:41:03 pm,1004.400,-1.206E-11,73.7,0.12,,,,,02/03/2022 04:07:25 pm,565.000,-1.093E-11,67.2,0.11,,,,,02/03/2022 04:25:16 pm,721.000,-1.711E-10,65.8,1.71,,,,
02/03/2022 03:41:08 pm,1009.400,-1.336E-11,74.2,0.13,,,,,02/03/2022 04:07:27 pm,567.000,-1.123E-11,67.7,0.11,,,,,02/03/2022 04:25:19 pm,724.200,-1.753E-10,66.2,1.75,,,,
02/03/2022 03:41:13 pm,1014.200,-1.552E-11,74.7,0.16,,,,,02/03/2022 04:07:29 pm,569.100,-1.131E-11,68.2,0.11,,,,,02/03/2022 04:25:22 pm,727.200,-1.808E-10,66.9,1.81,,,,
02/03/2022 03:41:24 pm,1025.900,-1.942E-11,75.4,0.19,,,,,02/03/2022 04:07:30 pm,570.800,-1.122E-11,68.6,0.11,,,,,02/03/2022 04:25:25 pm,730.600,-1.794E-10,67.2,1.79,,,,
02/03/2022 03:41:32 pm,1033.200,-2.327E-11,76.0,0.23,,,,,02/03/2022 04:07:36 pm,576.100,-1.105E-11,69.1,0.11,,,,,02/03/2022 04:25:28 pm,733.700,-1.771E-10,67.6,1.77,,,,
02/03/2022 03:44:05 pm,1186.300,-3.085E-12,25.9,0.03,,,,,02/03/2022 04:07:45 pm,585.200,-8.340E-12,71.1,0.08,,,,,02/03/2022 04:25:31 pm,736.600,-1.694E-10,68.4,1.69,,,,
02/03/2022 03:45:11 pm,1252.500,-3.767E-12,36.7,0.04,,,,,02/03/2022 04:07:48 pm,588.000,-5.017E-12,72.8,0.05,,,,,02/03/2022 04:25:42 pm,747.600,-1.328E-10,70.1,1.33,,,,
02/03/2022 03:45:47 pm,1288.800,-3.741E-12,37.1,0.04,,,,,02/03/2022 04:07:51 pm,591.300,-4.194E-12,73.5,0.04,,,,,02/03/2022 04:25:48 pm,753.000,-1.175E-10,70.6,1.18,,,,
02/03/2022 03:45:59 pm,1300.700,-3.541E-12,37.5,0.04,,,,,02/03/2022 04:07:53 pm,593.800,-4.056E-12,73.9,0.04,,,,,02/03/2022 04:25:51 pm,756.000,-1.019E-10,71.1,1.02,,,,
02/03/2022 03:46:06 pm,1307.100,-3.417E-12,37.9,0.03,,,,,02/03/2022 04:07:56 pm,596.000,-4.264E-12,74.3,0.04,,,,,02/03/2022 04:25:53 pm,758.300,-8.429E-11,71.8,0.84,,,,
02/03/2022 03:46:13 pm,1314.100,-3.361E-12,38.2,0.03,,,,,02/03/2022 04:07:58 pm,598.200,-4.858E-12,74.8,0.05,,,,,02/03/2022 04:25:55 pm,760.500,-7.656E-11,72.2,0.77,,,,
02/03/2022 03:46:18 pm,1319.400,-3.351E-12,38.6,0.03,,,,,02/03/2022 04:08:00 pm,600.600,-6.117E-12,75.4,0.06,,,,,02/03/2022 04:25:57 pm,762.500,-7.226E-11,72.7,0.72,,,,
02/03/2022 03:46:23 pm,1324.900,-3.492E-12,39.2,0.03,,,,,,,,,,,,,,02/03/2022 04:25:59 pm,764.900,-7.338E-11,73.2,0.73,,,,
02/03/2022 03:46:56 pm,1357.400,-5.793E-12,46.9,0.06,,,,,,,,,,,,,,02/03/2022 04:26:02 pm,767.500,-8.237E-11,73.8,0.82,,,,
02/03/2022 03:47:03 pm,1364.800,-5.226E-12,47.6,0.05,,,,,,,,,,,,,,02/03/2022 04:26:04 pm,769.700,-9.433E-11,74.3,0.94,,,,
02/03/2022 03:47:07 pm,1368.000,-4.709E-12,48.2,0.05,,,,,,,,,,,,,,02/03/2022 04:26:19 pm,784.900,-2.007E-10,78.3,2.01,,,,
02/03/2022 03:47:11 pm,1372.000,-4.283E-12,48.7,0.04,,,,,,,,,,,,,,02/03/2022 04:26:23 pm,788.200,-2.015E-10,78.6,2.01,,,,
02/03/2022 03:47:14 pm,1375.100,-3.886E-12,49.2,0.04,,,,,,,,,,,,,,02/03/2022 04:26:25 pm,790.500,-2.018E-10,79.1,2.02,,,,
02/03/2022 03:47:17 pm,1378.300,-3.722E-12,49.7,0.04,,,,,,,,,,,,,,02/03/2022 04:26:27 pm,792.700,-1.999E-10,79.7,2.00,,,,
02/03/2022 03:47:21 pm,1382.800,-3.804E-12,50.1,0.04,,,,,,,,,,,,,,02/03/2022 04:26:29 pm,794.600,-1.947E-10,80.2,1.95,,,,
02/03/2022 03:48:11 pm,1432.100,-5.115E-12,61.1,0.05,,,,,,,,,,,,,,,,,,,,,,
02/03/2022 03:48:20 pm,1441.500,-5.329E-12,61.4,0.05,,,,,,,,,,,,,,,,,,,,,,
02/03/2022 03:48:27 pm,1448.700,-5.691E-12,61.8,0.06,,,,,,,,,,,,,,,,,,,,,,
