"Peak Voltage (V) Run #2","Diff between Peaks (V) Run #2","Trough Voltage (V) Run #2","Diff between Troughs (V) Run #2"
23.9,9.70,26.8,11.90
33.6,11.50,38.7,12.10
45.1,11.20,50.8,11.50
56.3,11.90,62.3,11.70
68.2,,74.0,
