"Peak Voltage (V) Run #1","Diff between Peaks (V) Run #1","Trough Voltage (V) Run #1","Diff between Troughs (V) Run #1"
22.0,11.20,26.4,11.80
33.2,11.70,38.2,11.50
44.9,11.50,49.7,12.10
56.4,11.40,61.8,11.30
67.8,,73.1,
