Pressure (Torr),    Voltage (V) #Distance = 0.048cm
0.243,              1.07,
0.275,              1.02,
0.298,              0.97,
0.319,              0.95,
0.339,              0.94,
0.360,              0.91,
0.380,              0.91,
0.407,              0.88,
12.0,               0.46,
13.0,               0.47,
14.5,               0.51,
15.5,               0.51,
16.5,               0.52,
17.5,               0.54,
22.5,               0.53,
23.5,               0.55,
30.5,               0.56,
36.0,               0.56,
44.0,               0.61,
50.0,               0.62,
53.0,               0.62,
60.5,               0.63,
73.0,               0.65,
80.5,               0.75,
84.0,               0.80,       
90.0,               0.75,       
99.5,               0.80,       
130.,               0.93,
160.,               0.95,
190.,               1.04,
220.,               1.23,       
310.,               1.43,
