Average gammas,,
Gas,Mean ,Uncertainty
0,1.4084,0.0949
2,1.33,0.05
1,1.0888,0.0664
3,1.39,0.04
0,1.6,0.01
2,1.35,0.05
1,1.28,0.009
3,1.43,0.003
0,1.2,0.2
2,1.071,0.003
1,1.093,0.009
3,1.18,0.04
0,3,1
2,1.2,0.01
1,1,0.002
3,0.998,0.002
0,1.48,0.01
2,1.28,0.009
1,1.22,0.007
3,1.27,0.01
0,1.58,0.08
2,1.38,0.04
1,1.28,0.03
3,1.37,0.03
0,1.55,0.06
2,1.31,0.04
1,1.22,0.01
3,1.31,0.01
0,1.59,0.02
2,1.37,0.05
1,1.25,0.02
3,1.37,0.04
0,0.82,0.2824
2,1.14,0.38
1,1.25,0.63
3,1.08,0.36
0,1.38,0.06
2,1.23,0.02
1,1.13,0.06
3,1.31,0.02
0,1.4,1
2,1.05,0.09
1,1.23,0.003
3,1.355,0.003
0,1.5345,0.0363
2,1.3333,0.0136
1,1.2582,0.0099
3,1.3557,0.0172
0,1.7579,0.233
2,1.5107,0.361
1,1.605,0.459
3,2.199,0.58
0,1.586,0.0209
2,1.264,0.344
1,1.086,0.038
3,1.1502,0.0324
0,1.6069,0.0322
2,1.3883,0.364
1,1.128,0.365
3,1.0528,0.0053
0,1.4009,0.0852
2,1.2695,0.0249
1,1.19,0.0208
3,1.2784,0.0232
0,1.3032,0.1683
2,0.9566,0.111
1,1.1578,0.0251
3,1.2971,0.0214
0,1.4295,0.0624
2,0.9678,0.0993
1,1.2807,0.0133
3,1.425,0.2965
0,1.2487,0.1075
2,1.0475,0.0293
1,1.2873,0.0431
3,1.134,0.0587
0,1.567,0.003
2,1.27,0.01
1,1.265,0.004
3,1.278,0.007
